kurum_adi,sehir,tur,segment,tier,email,email_confidence,website
PawMed Veteriner Kliniği,Ankara,muayenehane,solo,3,info@pawmedveteriner.com.tr,low,http://pawmedveteriner.com.tr/
,,,,,,,
Çankaya veteriner tani tedavi merkezi,Ankara,muayenehane,solo,3,mert_daglikoca@cankayaveteriner.com.tr,high,http://www.cankayaveteriner.com.tr/
ÇANAKKALE VET-KİT 7/24 ACiL VETERİNER KLİNİĞİ ( NÖBETÇİ VETERİNER ),Ankara,muayenehane,solo,3,vetkitveteriner@gmail.com,high,http://vetkitveterinerklinigi.com.tr/
Bulvar Veteriner Kliniği,Bursa,muayenehane,solo,3,info@bulvarveteriner.com,low,http://bulvarveteriner.com/
Fee Veteriner Cerrahi Kliniği Özlüce Bursa,Bursa,muayenehane,solo,3,info@feevet.com,low,http://www.feevet.com/
VetOasis Veteriner Kliniği,Bursa,muayenehane,solo,3,info@vetoasis.com.tr,low,https://vetoasis.com.tr/
Vena Veteriner Kliniği,Bursa,muayenehane,solo,3,iletisim@www.venaveteriner.com,high,http://www.venaveteriner.com/
Osmangazi Belediyesi Sahipsiz Hayvanlar Doğal Yaşam Merkezi,Bursa,,unknown,3,info@osmangazi.bel.tr,high,http://www.osmangazi.bel.tr/tr/proje/sahipsiz-hayvanlar-dogal-yasam-merkezi
Uludağ Veteriner Kliniği | 7/24 Acil Veteriner | Bursa Veteriner | Nöbetçi Veteriner | Osmangazi Veteriner,Bursa,muayenehane,solo,3,info@uludagveterinerklinigi.com,low,http://www.uludagveterinerklinigi.com/
,,,,,,,
Vetorka Veteriner Kliniği,Bursa,muayenehane,solo,3,info@vetorka.com,low,http://vetorka.com/
Alya Veteriner Muayenesi,Bursa,muayenehane,solo,3,info@alyaveteriner.com.tr,high,https://alyaveteriner.com.tr/
Oksijen Hayvan Hastanesi,Bursa,hastane,hospital,1,info@oksijenhayvanhastanesi.com,high,https://www.oksijenhayvanhastanesi.com/
Akademi Hayvan Hastanesi,Bursa,hastane,hospital,1,info@akademivet.com,low,http://www.akademivet.com/
Çınar Veteriner Polikliniği,Bursa,poliklinik,mid,1,info@cinarveterinerlik.com,high,http://cinarveterinerlik.com/
Armilla Hayvan Hastanesi,Bursa,hastane,hospital,1,info@armillahayvanhastanesi.com,low,http://www.armillahayvanhastanesi.com/
Baykuş Veteriner Kliniği/ Kedi Köpek Kuş Veteriner Kliniği,Ankara,muayenehane,solo,3,info@baykusveteriner.com.tr,low,http://baykusveteriner.com.tr/
AORT VETERİNER KLİNİĞİ,Ankara,muayenehane,solo,3,info@aortveteriner.com.tr,low,https://aortveteriner.com.tr/
Animal Love Veteriner Kliniği,Ankara,muayenehane,solo,3,info@animalloveveteriner.com,high,http://www.animalloveveteriner.com/
YENİ BAŞKENT VETERINER KLİNİĞİ,Ankara,muayenehane,solo,3,info@yenibaskentveteriner.com,low,http://www.yenibaskentveteriner.com/
EVCILIM 7/24 AÇIK VETERINER POLIKLINIĞI,Bursa,,unknown,3,info@evcilimpet.com.tr,high,http://www.evcilimpet.com.tr/
Rota Veteriner Kliniği 7/24,Bursa,muayenehane,solo,3,info@rotaveterinerbursa.com,low,http://www.rotaveterinerbursa.com/
Bayrampaşa Büyük 7/24 Acil Veteriner | Bayrampaşa Veteriner Polikliniği,İstanbul,poliklinik,mid,1,info@bayrampasaveteriner.com,high,http://www.bayrampasaveteriner.com/
"topkapı Fatih veteriner, Hayvan Hastanesi istanbul",İstanbul,hastane,hospital,1,info@fatihhayvanhastanesi.com,low,http://www.fatihhayvanhastanesi.com/
Petcode İstanbul Hayvan Hastanesi,İstanbul,hastane,hospital,1,info@univet.com.tr,low,https://univet.com.tr/
Bornova Doğa Veteriner Polikliniği,İzmir,poliklinik,mid,1,info@dogavet.net,low,http://www.dogavet.net/
Vetrium Hayvan Hastanesi,Ankara,hastane,hospital,1,info@ankaravetrium.com,low,https://ankaravetrium.com/
Özel Çayyolu Hayvan Hastanesi,Ankara,hastane,hospital,1,info@cayyoluhayvanhastanesi.com.tr,high,https://cayyoluhayvanhastanesi.com.tr/
Cat Hospital Kedi Hastanesi,Ankara,hastane,hospital,1,muhasebecathospital@gmail.com,high,http://cathospital.com.tr/
Dodo Veteriner Polikliniği,Bursa,poliklinik,mid,1,info@dodohayvanhastanesi.com,low,https://dodohayvanhastanesi.com/
Özel Bursa Hayvan Hastanesi acil nöbetçi 7/24 veteriner,Bursa,hastane,hospital,1,info@bursahayvanhastanesi.com.tr,low,https://www.bursahayvanhastanesi.com.tr/
İstanbul Veteriner Kliniği,İstanbul,muayenehane,solo,3,info@istanbulvet.com,low,http://www.istanbulvet.com/
"Vet216 Koşuyolu Veteriner Kliniği - Üsküdar Kadıköy 24 Saat Açık Acil Nöbetçi Veteriner Kliniği - Acıbadem, Altunizade",İstanbul,muayenehane,solo,3,info@vet216kosuyolu.com,low,https://vet216kosuyolu.com/
Borvet Veteriner Kliniği,İzmir,muayenehane,solo,3,info@borvet.net,low,http://borvet.net/
Karşıyaka Veteriner Kliniği,İzmir,muayenehane,solo,3,info@karsiyakaveteriner.com.tr,low,https://www.karsiyakaveteriner.com.tr/
Boncuk Animal Club,Ankara,,unknown,3,info@boncukanimal.club,high,https://boncukanimal.club/
VTM Ankara Veteriner Tıp Merkezi,Ankara,muayenehane,solo,3,vtm@vtm.com.tr,high,https://www.vtm.com.tr/
Pet 224 Veteriner Kliniği | 7/24 Acil Veteriner | Nöbetçi Veteriner | Beşevler Veteriner | Nilüfer Veteriner,Bursa,muayenehane,solo,3,info@pet224.com,high,https://www.pet224.com/
